id,phone_id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1,96,842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1
2,97,1021,1,0.5,1,,1,53,0.7,136,3,6,905,1988,,17,3,7,1,1,0,2
3,98,563,1,0.5,1,2,1,41,0.9,,5,6,1263,1716,2603,11,2,9,1,1,0,2
4,99,615,1,2.5,0,,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,0,0,2
5,100,1821,1,1.2,0,13,1,44,,141,2,14,1208,1212,1411,8,2,15,1,1,0,1
6,101,1859,0,0.5,1,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,1,0,0,1
7,102,1821,0,1.7,0,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,1,0,1,3
8,103,1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,1,1,1,0
9,104,1445,1,0.5,0,0,0,53,0.7,174,7,14,386,836,1099,17,1,20,1,0,0,0
10,105,509,1,0.6,1,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,1,0,0,0
11,106,769,1,2.9,1,0,0,9,0.1,182,5,1,248,874,3946,5,2,7,0,0,0,3
12,107,1520,1,2.2,0,5,1,33,0.5,177,8,18,151,1005,3826,14,9,13,1,1,1,3
13,108,1815,0,2.8,0,2,0,33,0.6,159,4,17,607,748,1482,18,0,2,1,0,0,1
14,109,803,1,2.1,0,7,0,17,1,198,4,11,344,1440,2680,7,1,4,1,0,1,2
15,110,1866,0,0.5,0,13,1,52,0.7,185,1,17,356,563,373,14,9,3,1,0,1,0
16,111,775,0,1,0,3,0,46,0.7,159,2,16,862,1864,568,17,15,11,1,1,1,0
17,112,838,0,0.5,0,1,1,13,0.1,,8,4,984,1850,3554,10,9,19,1,0,1,3
18,113,595,0,0.9,1,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,1,1,0,3
19,114,1131,1,0.5,1,11,0,49,0.6,101,5,18,658,878,1835,19,13,16,1,1,0,1
20,115,682,1,0.5,0,4,0,19,1,121,4,11,902,1064,2337,11,1,18,0,1,1,1
21,116,772,0,1.1,1,12,0,39,0.8,81,7,14,1314,1854,2819,17,15,3,1,1,0,3
22,117,1709,1,2.1,0,1,0,13,1,156,2,2,974,1385,3283,17,1,15,1,0,0,3
23,118,1949,0,2.6,1,4,0,47,0.3,199,4,7,407,822,1433,11,5,20,0,0,1,1
24,119,1602,1,2.8,1,4,1,38,0.7,114,3,20,466,788,1037,8,7,20,1,0,0,0
25,190,503,0,1.2,1,5,1,8,0.4,111,3,13,201,1245,2583,11,0,12,1,0,0,1
26,193,961,1,1.4,1,0,1,57,0.6,114,8,3,291,1434,2782,18,9,7,1,1,1,2
27,194,519,1,1.6,1,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,1,0,1,3
28,195,956,0,0.5,0,1,1,41,1,143,7,6,511,1075,3286,17,8,12,1,1,0,3
29,199,1453,0,1.6,1,12,1,52,0.3,96,2,18,187,1311,2373,10,1,10,1,1,1,2
30,200,851,0,0.5,0,3,0,21,0.4,200,5,7,1171,1263,478,12,7,10,1,0,1,0
31,211,1579,1,0.5,1,0,0,5,0.2,88,7,9,1358,1739,3532,17,11,12,0,0,1,3
32,225,1568,1,0.5,0,16,0,33,1,150,8,20,413,654,508,5,1,6,1,1,1,0
33,226,1319,1,0.9,0,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,1,1,1,1
34,251,1310,1,2.2,1,0,1,51,0.6,100,4,0,178,1919,3845,7,0,12,1,1,0,3
35,252,644,1,2.7,0,0,0,22,0.7,157,8,3,311,881,1262,12,1,15,1,0,0,0
36,253,725,0,1.3,1,16,0,60,0.4,160,8,17,1134,1249,1326,10,4,15,1,0,0,1
