Composer
Anonymous
Karl Friedrich Abel
Lodovico Agostini
Giovanni J. Albuzio
Thomas Arne
John Attey
Filippo Azzaiolo
Daniel Bacheler
Valentin Bakfark
Robert Ballard
Giulio Cesare Barbetta
Ernst Gottlieb Baron
William Basse
Mr. Beck
John Blow
Antoine Boësset
Ann Boleyn?
Pietro Paolo Borrono
Baruch Bulman
Dietrich Buxtehude
William Byrd
Francis Cutting
Antonio de Cabezón
Giulio Caccini
Antonio Caldara
Marchetto Cara
Firminus Caron
Fabritio Caroso
Dario Castello
Francesco Cavalli
Johannes Ciconia
Cipriano de Rore
John Coprario
Arcangelo Corelli
William Cornysh
François Couperin
Chiara Margarita Cozzolani
Giovanni B. dalla Gostena
Johann Friedrich Daube
Francisco de la Torre
John Dowland
Guillaume Dufay
John Dunstable?
Narciso Durán
Sigismondo dIndia
John Eccles
Pat OBrian
Paul ODette
Alfonso Ferrabosco I
Sebastiano Festa
Perino Fiorentino
Antoine Forqueray
Girolamo Frescobaldi
Johann J. Froberger
Galileo Galilei?
Jacques de Gallot
Santino Garsi
Hans Gerle
Claude Gervaise
Carlo Gesualdo
Orlando Gibbons
Anton W.H. Gleitsmann
Christoph W. von Gluck
Giacomo Gorzanis
Thomas Greaves
Pierre Guédron
Johann Gumprecht
Robert Hales
Georg Friederich Händel
Henry Lawes
Anthony Holborne
Gregorio Huet
Tobias Hume
Jacob Meiland
Jacobus?
Robert Jones
Sixt Kargel
David Kellner
Robert Kindersley
Orlando di Lasso
Nicolas A. Lebègue
Giovanni Legrenzi
Claude Le Jeune
Giovanni A. Leoni
Carlo A. Lonati
Jean-Baptiste Lully
Richard Allison
Girolamo Conversi
Gary Digman
Alfonso Ferrabosco II
Emanuel Adriaenssen
Thomas Ford
Nicolas Gombert
Clément Janequin
John Johnson
Josquin des Prez
William Lawes
John Marchant
Francesco da Milano
Simone Molinaro
Claudio Monteverdi
Cristóbal de Morales
Alessandro Piccinini
Francis Pilkington
George Botsford
Henry Purcell
Thomas Robinson
Alessandro Striggio
Jan P. Sweelinck
Franciscus Bossinensis
Nicolas Vallet
Vincenzo Galilei
Guillaume de Machaut
Pierre de Manchicourt
Marin Marais
Domenico Mazzocchi
David Melvill
Jean Mercure
René Mesangeau
Gottfried Meusel
Jacques Edinthon
Enriquez de Valderrábano
Albert de Rippe
Francesco da Milano?
Giovanni M. da Crema
Wolff Heckel
Joanne Matelart
Paulo Galvão
Sigmar Salzburg
Laudon Schuett
Michele P. de Montéclair
Thomas Morley
Robert Morton
Christian G. Scheidler
Diego Ortiz
Francisco Paez
Mogens Pedersøn
Jacopo Peri
Peter Philips
MarcAntonio del Pifaro
Bob Telson
John Lennon
Scott Joplin
Willie Nelson
Paul McCartney
Harold Arlen
Walter Gross and Jack Lawrence
Lionel Bart
Michael Praetorius
Johann J. Quantz
Esaias Reusner
Jakub Reys
François Richard
Robert Johnson
Robert Johnson?
Conte Ludovico Roncalli
Philip Rosseter
Luigi Rossi
Giovanni Felice Sances
Alessandro Scarlatti
Arnolt Schlick
Heinrich Schütz
Ludwig Senfl
Simon Gintzler
Johann Siess
Christopher Simpson
Francesco Spinacino
Alessandro Stradella
Barbara Strozzi
Georg P. Telemann
Guillaume Tessier
Henry Tudor
Jacob van Eyck
Philippe Verdelot
Benedetto Vinaccesi
Robert de Visée
Sylvius L. Weiss
Robert White
John Whitfield
John Wilbye
Adrian Willaert
John Wilson
Henry Thomas Smart
Traditional French
Conrad Kocher
William James Kirkpatrick
Mel Tormé
Thomas Oliphant
Thoinot Arbeau
Traditional English
James Mason Neale
Thomas Helmore
Felix Mendelssohn
Hugh Martin and Ralph Blane
Dmytro S. Bortniansky
John Baptiste Calkin
Henry John Gauntlett
Roman Turovsky
Franz Gruber
John Henry Hopkins
Giovanni Zamboni
Ruggiero Giovannelli
Paolo Quagliati
Giovanni Gabrieli
A. Melandino
Hans Leo Hassler
Camillo Zanotti
Jacobus Gallus?
Knowles
""
Orazio Vecchi
Charles Bocquet
Charles Bocquet?
Melchior Newsidler?
Alessandro Orologio
Hans Newsidler
Joanambrosio Dalza
Georg Forster
Adolf Blindhamer
Adolf Blindhamer?
Petrus Tritonius
Giulio Abondante
Pierre Blondeau
Charles de Lespine
Pierre Attaingnant
Pierre Moulu
Pierre Attaingnant?
Claudin de Sermisy
Giovanni
Giovanni Batista Borrono?
Pietro Paolo Borrono?
Thomas Crécquillon
Franz Sales
Hortenzio Perla
Cristofano Malvezzi
Paolo Quagliati?
J.S. Bach
Unknown
Bernardino Balletti
Melchiore de Barberiis
Pierre Guédron?
Gabriel Bataille
Vincent
Savorny
Jacques Salmon
Charles Tessier
Pierre Cerveau
Didier Le Blanc?
Guillaume Chastillon de LaTour
Nicolas Chevalier?
Jean Planson and Pierre Guédron
Jean de Castro
Gabriel Bataille?
Vincent?
Pierre Bonnet
Antoine Boësset?
Sauvage
Joachim-Thibault de Courville
Jacques Mauduit
Henry le Bailly
Père Courias
Jacques Salmon or Pierre Bonnet
Jacques Le Fevre
Paul Auget
Grand-Rue
François Fegueux
Coffin
Antonio di Becchi
Lorenzino Tracetti
Fabrizio Dentice
Diomedes Cato
Giovanni Maffon
Albert Dlugorai
Vincenzo Pinti
Jean-Baptiste Bésard
Matthäus Waissel
Luca Marenzio
Pomponio Buononcini
Jean Perrichon
Guillaume de Vaumesnil
Domenico Bianchini
Francescho Bianchini
Thomas Campion
Marco dallAquila
Jo. Petro
Ludwig Iselin
Wolff Heckel?
Elias N. Ammerbach
Julius Bischoff
F.D.D.D.
E.M.
Melchior Newsidler
G.L.
A.F.
N.P.
C.S.
L.K.
F.D.D.
E.P.R.
Richard Green
F.P.
Heinrich Isaac
Petrus Fabricius
D.Be.
Albert Dlugorai?
P.
V.B.
Matthias Greiter
Martin Luther
Hans Leo Hassler?
Elizabeth Cruciger?
Victor de Montbuisson
Tobias Stemis?
William Corkine
Pierre Dubut
Michelagnolo Galilei?
Ennemond Gaultier?
Pietro Paolo Melli
Jean Perrichon?
La Barre
Michelagnolo Galilei
Elias Mertel
René Saman
Ennemond Gaultier
Giovanni G. Gastoldi
Jean-Baptiste Bésard or Jean Perrichon
Vincenzo Bernia
Nicolas Vallet or Pierre Guédron
Louis de Moy
Valentin Strobel
Robert Ballard or Ennemond Gaultier
Giovanni Battista Domenico
Martin Luther?
Emilio de Cavalieri
Nani di Milan
Alessandro Piccinini?
Jan P. Sweelinck or Robert Ballard
Robert Ballard or Jean Mercure
Jacques Gautier
John Sturt
Jacques? Gautier
Joachim van den Hove
Nicolas Vallet?
Giovanni A. Terzi
Matthäus Waissel?
Diomedes Cato?
Santino Garsi?
Robert Ballard or Charles de lEspine
Robert Kindersley?
Oswald von Wolkenstein
W.T.
Mercure dOrléans
Jacob Meiland?
Valentin Haussmann
Juden zu Maintz
Ulrich Zwingli
Julio Segni
Joachim van den Hove?
Michael Praetorius?
Valentin Bakfark?
M.D.H.
P.P.
A.R.
Antonio Scandello
Johan Pistre?
