Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified
72. Passamezzo,,Anonymous,,PL-Kj:Uniwersytet Jagiellonski,mus.ms.w510,,c.1565,f.38v,Sarge Gerbode,Sarge Gerbode,,,,,,,"passamezzo, saltarello",Fm,3.0,6-course,,,,https://lutemusic.org/facsimiles/PL-Kj_Uniwersytet_Jagiellonski/mus.ms.w510_c.1565/38v.png,https://lutemusic.org//072_passamezzo+saltarello_anon.ft3,https://lutemusic.org/pdf/072_passamezzo+saltarello_anon.pdf,https://lutemusic.org/midi/072_passamezzo+saltarello_anon.mid,1723054662,1723054662
Sonata in C Major,1. Moderato,Karl Friedrich Abel,,GB-Lbl:British Library,Add. MS 31697:Music Book of the Countess of Pembroke,,1770,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sonata in C Major,1. Moderato,"sonata, moderato",CM,3.0,"archlute, 6-course bass viol",score,,,,https://lutemusic.org/composers/Abel/sonata_CM_01_moderato.ft3,https://lutemusic.org/composers/Abel/pdf/sonata_CM_01_moderato.pdf,https://lutemusic.org/composers/Abel/midi/sonata_CM_01_moderato.mid,1709916849,1707936178
Sonata in C Major,1. Moderato,Karl Friedrich Abel,,GB-Lbl:British Library,Add. MS 31697:Music Book of the Countess of Pembroke,,1770,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sonata in C Major,1. Moderato,"sonata, moderato",CM,3.0,"archlute, 6-course bass viol",archlute,,,,https://lutemusic.org/composers/Abel/sonata_CM_01_moderato_T.ft3,https://lutemusic.org/composers/Abel/pdf/sonata_CM_01_moderato_T.pdf,https://lutemusic.org/composers/Abel/midi/sonata_CM_01_moderato_T.mid,1709916849,1707936178
Sonata in C Major,2.Tempo di Minuetto,Karl Friedrich Abel,,GB-Lbl:British Library,Add. MS 31697:Music Book of the Countess of Pembroke,,1770,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sonata in C Major,2. Tempo di Minuetto,"sonata, minuet",CM,3.0,"archlute, 6-course bass viol",score,,,,https://lutemusic.org/composers/Abel/sonata_CM_02_minuetto.ft3,https://lutemusic.org/composers/Abel/pdf/sonata_CM_02_minuetto.pdf,https://lutemusic.org/composers/Abel/midi/sonata_CM_02_minuetto.mid,1709916849,1707936178
Sonata in C Major,2. Tempo di Minuetto,Karl Friedrich Abel,,GB-Lbl:British Library,Add. MS 31697:Music Book of the Countess of Pembroke,,1770,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sonata in C Major,2. Tempo di Minuetto,"sonata, minuet",CM,3.0,"archlute, 6-course bass viol",archlute,,,,https://lutemusic.org/composers/Abel/sonata_CM_02_minuetto_T.ft3,https://lutemusic.org/composers/Abel/pdf/sonata_CM_02_minuetto_T.pdf,https://lutemusic.org/composers/Abel/midi/sonata_CM_02_minuetto_T.mid,1709916849,1707936178
O Villanella,,Lodovico Agostini,,Lodovico Agostini,Canzoni Alla Napolitana a cinque voci,,1574,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,madrigal,FM,2.0,"bass, tenor 2:tenor, tenor 1:tenor, alto, soprano",score,,,,https://lutemusic.org/composers/Agostini/o_villanella_4.ft3,https://lutemusic.org/composers/Agostini/pdf/o_villanella_4.pdf,https://lutemusic.org/composers/Agostini/midi/o_villanella_4.mid,1709916849,1697318897
O Villanella,,Lodovico Agostini,,Lodovico Agostini,Canzoni Alla Napolitana a cinque voci,,1574,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,"O villanella, villanella-light",,lute song,FM,2.0,"7-course, tenor",score,,,,https://lutemusic.org/composers/Agostini/o_villanella_song.ft3,https://lutemusic.org/composers/Agostini/pdf/o_villanella_song.pdf,https://lutemusic.org/composers/Agostini/midi/o_villanella_song.mid,1709916849,1700675884
O Villanella,,Lodovico Agostini,,Lodovico Agostini,Canzoni Alla Napolitana a cinque voci,,1574,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,"O villanella, villanella-light",,lute song,FM,2.0,"7-course, tenor",7-course,,,,https://lutemusic.org/composers/Agostini/o_villanella_song_T.ft3,https://lutemusic.org/composers/Agostini/pdf/o_villanella_song_T.pdf,https://lutemusic.org/composers/Agostini/midi/o_villanella_song_T.mid,1709916849,1700675884
Fantasia 1,,Giovanni J. Albuzio,,Giovanni A. Castigliono,Intabolatura da Leuto,,1536,f.31,Sarge Gerbode,Jason Kortis,,,,,Fantasy,,fantasia,Dm,3.0,6-course,,,,https://lutemusic.org/facsimiles/CastiglionoG/Intabolatura_da_Leuto_1536/31.png,https://lutemusic.org/composers/Albuzio/22_Fantasia_1.ft3,https://lutemusic.org/composers/Albuzio/pdf/22_Fantasia_1.pdf,https://lutemusic.org/composers/Albuzio/midi/22_Fantasia_1.mid,1709916849,1700164319
40. Fantasy 2,,Giovanni J. Albuzio,,Giovanni A. Castigliono,Intabolatura da Leuto,,1536,f.59,Sarge Gerbode,Jason Kortis,,,,,40. Fantasy 2,,fantasia,Cm,3.0,6-course,,,,https://lutemusic.org/facsimiles/CastiglionoG/Intabolatura_da_Leuto_1536/59.png,https://lutemusic.org/composers/Albuzio/40_Fantasia_2.ft3,https://lutemusic.org/composers/Albuzio/pdf/40_Fantasia_2.pdf,https://lutemusic.org/composers/Albuzio/midi/40_Fantasia_2.mid,1709916849,1700164319
