Piece,Type,Key,Difficulty,Date,Ensemble
,passamezzo saltarello,Fm,3.0,c.1565,6-course
Sonata in C Major,sonata moderato,CM,3.0,1770,archlute 6-course bass viol
Sonata in C Major,sonata moderato,CM,3.0,1770,archlute 6-course bass viol
Sonata in C Major,sonata minuet,CM,3.0,1770,archlute 6-course bass viol
Sonata in C Major,sonata minuet,CM,3.0,1770,archlute 6-course bass viol
,madrigal,FM,2.0,1574,bass tenor 2:tenor tenor 1:tenor alto soprano
O villanella villanella-light,lute song,FM,2.0,1574,7-course tenor
O villanella villanella-light,lute song,FM,2.0,1574,7-course tenor
Fantasy,fantasia,Dm,3.0,1536,6-course
40. Fantasy 2,fantasia,Cm,3.0,1536,6-course
Depairte depairte,vocal intabulation,Gm,3.0,1545,8-course
Fantasy 10,fantasia,Gm,3.0,1610,6-course
Go from my window,vocal intabulation,FM,1.0,1590,6-course
Las je ne puis plus nullement durer,vocal intabulation,Dm,2.0,1475,5-course
Alle psallite cum luya,religious,Dm,2.0,1250,6-course
Alle psallite cum luya,religious,Dm,2.0,1250,6-course
Branles,branle,FM,3.0,1550,7-course
Pazzamezzo,passamezzo passamezzo-harmony,FM,2.0,1550,7-course
Tedesca,allemande,CM,3.0,1550,6-course
Greensleeves,vocal intabulation,Cm,2.0,1550,6-course
A caroll for New-yeares day,lute song,Em,3.0,1642,alto 8-course
A caroll for New-yeares day,lute song,Em,3.0,1642,alto 8-course
Robin is to the green wood gone,lute song,Cm,2.0,1600,tenor 6-course
Robin is to the green wood gone,lute song,Cm,2.0,1600,tenor 6-course
And let me the canakin clink,lute song,FM,2.0,1605,tenor 7-course
And let me the canakin clink,lute song,FM,2.0,1605,tenor 7-course
Three Merry Men,lute song,GM,2.0,1623,alto 8-course
Three Merry Men,lute song,GM,2.0,1623,alto 8-course
Three Merry Men,lute song,GM,2.0,1623,alto 8-course
When that I was and a little tiny boy,vocal intabulation,Am,3.0,1623,6-course
When that I was and a little tiny boy,vocal intabulation,Am,2.0,1623,6-course
When that I was and a little tiny boy,lute song,Dm,3.0,1623,tenor 8-course
When that I was and a little tiny boy,lute song,Dm,3.0,1623,tenor 8-course
Stella splendens,vocal intabulation,Dm,2.0,1370,6-course
Stella splendens,vocal intabulation,Fm,2.0,1370,6-course
,lute song,BbM,3.0,1740,7-course soprano 1:soprano soprano 2:soprano
,lute song,BbM,3.0,1740,7-course soprano 1:soprano soprano 2:soprano
,lute song,BbM,3.0,1740,7-course soprano 1:soprano soprano 2:soprano
,lute song,BbM,3.0,1740,7-course soprano 1:soprano soprano 2:soprano
When daisies pied,lute song,GM,5.0,1747,soprano 8-course
When daisies pied,lute song,GM,5.0,1747,soprano 8-course
Sweet was the song,lute song christmas,Am,3.0,1622,7-course soprano
Sweet was the song,lute song christmas,Am,3.0,1622,7-course soprano
Chi passa per sta strada,lute song,Dm,3.0,1570,8-course alto
Chi passa per sta strada,lute song,Dm,3.0,1570,8-course alto
Round,round allemande,FM,3.0,1595,7-course
Fantasy 1,fantasia,Fm,6.0,1610,9-course
Galliard to the pavane before,galliard,Gm,3.0,1595,7-course
Galliard to the pavane before,galliard,Gm,3.0,1595,7-course
Monsieurs allemande,allemande,GM,6.0,1610,7-course
Pavan 1,pavane,Dm,6.0,1595,7-course
Pavan 1,pavane,Dm,6.0,1595,8-course
Pavane 3,pavane,FM,5.0,1616,7-course
Pavane,pavane,Cm,6.0,1610,7-course
La jeune fillette,vocal intabulation,Fm,4.0,1610,9-course
Fantasy 8,fantasia,Gm,5.0,1571,6-course
Fantasy 9,fantasia,Cm,3.0,c.1600,6-course
Fantasy 10,fantasia,CM,3.0,1571,6-course
Courante 4,courante,CM,2.0,1615,10-course
Moresca 1 - Le Canarie,moresca canarie,GM,3.0,1585,6-course
Sonnetto primero grado,suite soneto prelude,BbM,3.0,1559,13-course baroque
Sonnetto primero grado,suite soneto gigue,BbM,3.0,1559,13-course baroque
Sonnetto primero grado,suite soneto minuet,BbM,3.0,1559,13-course baroque
Sonnetto primero grado,suite soneto allemande,BbM,3.0,1559,13-course baroque
Sonnetto primero grado,suite soneto minuet,BbM,3.0,1559,13-course baroque
Suite in F major,suite gavotte,FM,3.0,1728,13-course baroque
Suite in F major,suite minuet,FM,3.0,1728,13-course baroque
Suite in F major,suite sarabande,FM,3.0,1728,13-course baroque
Suite in F major,suite allemande,FM,3.0,1728,13-course baroque
Suite in F major,suite allemande,FM,3.0,1728,13-course baroque
Suite in F major,suite gavotte,FM,3.0,1728,13-course baroque
Suite in F major,suite gigue,FM,3.0,1728,13-course baroque
The Hunters Carreere,vocal intabulation,FM,2.0,1625,soprano 7-course
Katherine Ogie,vocal intabulation,CM,3.0,1690,11-course baroque
No more the dear lovely nymph,lute song,Em,4.0,1680,6-course bass viol archlute soprano
No more the dear lovely nymph,lute song,Em,4.0,1680,6-course bass viol archlute soprano
No more the dear lovely nymph,lute song,Em,4.0,1680,6-course bass viol archlute soprano
No more the dear lovely nymph,lute song,Em,4.0,1680,6-course bass viol archlute soprano
No more the dear lovely nymph,lute song,Em,4.0,1680,6-course bass viol archlute soprano
O turn not those fine eyes away,lute song,Am,4.0,1680,6-course bass viol archlute soprano
O turn not those fine eyes away,lute song,Am,4.0,1680,6-course bass viol archlute soprano
O turn not those fine eyes away,lute song,Am,4.0,1680,6-course bass viol archlute soprano
O turn not those fine eyes away,lute song,Am,4.0,1680,6-course bass viol archlute soprano
O turn not those fine eyes away,lute song,Am,4.0,1680,6-course bass viol archlute soprano
Quelle pointe de jalousie,lute song,CM,2.0,1617,6-course a lute soprano
Quelle pointe de jalousie,lute song,CM,2.0,1617,6-course a lute soprano
Quelle pointe de jalousie,lute song,CM,2.0,1617,6-course a lute soprano
O Death rock me asleep,lute song,Dm,3.0,1610,8-course alto
O Death rock me asleep,lute song,Dm,3.0,1610,8-course alto
O Death rock me asleep,lute song,Dm,3.0,1610,8-course alto
A laventure,vocal intabulation,Gm,2.0,1548,6-course
Bon jour mamye,vocal intabulation,FM,2.0,1548,6-course
Fantasy 13,fantasia,Fm,3.0,1548,6-course
Jai mis mon coeur,vocal intabulation,Gm,2.0,1548,6-course
Pavane,pavane,CM,2.0,1548,6-course
La bella Bianca Margarita,pavane,GM,3.0,1548,6-course
Pavane,pavane,Fm,3.0,1548,6-course
Mala se nea,vocal intabulation,GM,2.0,1548,6-course
Noe noe noe puer nobis nascitur,vocal intabulation religious,EbM,3.0,1548,6-course
Pavane,pavane,EbM,3.0,1548,6-course
Pavane,pavane,GM,2.0,1536,6-course
Pavane,pavane,DM,3.0,1536,6-course
Saltarello 2,saltarello,CM,3.0,1548,6-course
A Pavan,pavane,Fm,5.0,c.1610,6-course
Ich bin eine Blume zu Saron,cantata,AM,4.0,1700,bass violin 1:violin violin 2:violin violone archlute
Mein Herz ist bereit,Cantata,FM,2.0,1696,bass violin cello archlute
Mein Herz ist bereit,Cantata,FM,2.0,1696,bass violin cello archlute
Christe Redemptor à 4,vocal intabulation,Dm,3.0,1611,8-course
,hymn vocal intabulation,Dm,3.0,1611,6-course
,motet vocal intabulation religious,CM,3.0,1611,6-course
Pavane Bray,pavane,FM,5.0,1600,7-course
,motet vocal intabulation religious,Gm,3.0,1611,6-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Fantasy à 4,fantasia,Cm,3.0,1611,7-course
Fantasy à 4,fantasia,Cm,3.0,1611,treble viol 8-course
Miserere à 4,vocal intabulation religious,Gm,3.0,1575,archlute
Tiento 1,tiento,Dm,2.0,1578,6-course
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Amarilli mia bella,lute song,Gm,3.0,1610,8-course 6-course bass viol alto
Non hal ciel cotanti lumi,lute song,Gm,3.0,1614,archlute soprano
Pien damoroso affetto,lute song,FM,3.0,1614,archlute alto
Come raggio del sol,aria,Dm,3.0,1707,8-course alto
Come raggio del sol,aria,Dm,3.0,1707,8-course alto
Come raggio del sol,aria,Gm,3.0,1707,8-course soprano
Come raggio del sol,aria,Gm,3.0,1707,8-course soprano
,madrigal,CM,3.0,1504,bass tenor alto 2:alto alto 1:alto
,madrigal,BbM,3.0,1707,bass tenor alto 2:alto alto 1:alto
,lute song,BbM,3.0,1707,8-course alto
,lute song,BbM,3.0,1707,8-course alto
La non vol perche non me ama,lute song,Am,2.0,1518,6-course alto
La non vol perche non me ama,lute song,Am,2.0,1518,6-course alto
La non vol perche non me ama,lute song,Dm,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Dm,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Em,2.0,1518,8-course tenor
La non vol perche non me ama,lute song,Em,2.0,1518,8-course alto
La non vol perche non me ama,lute song,Em,2.0,1518,6-course e lute tenor
La non vol perche non me ama,lute song,Em,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course e lute alto
Se amor non è,lute song,Dm,2.0,1518,6-course alto
Se amor non è,lute song,Dm,2.0,1513,6-course alto
Mort ou mercy,vocal intabulation,Gm,2.0,1477,6-course
